学校基本調査＞高等教育機関《報告書掲載集計》＞学校調査＞大学・大学院＞出身高校の所在地県別　入学者数＞計（注：大学の所在地は区別しない）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年度,西暦,全国,北海道,青森,岩手,宮城,秋田,山形,福島,茨城,栃木,群馬,埼玉,千葉,東京,神奈川,新潟,富山,石川,福井,山梨,長野,岐阜,静岡,愛知,三重,滋賀,京都,大阪,兵庫,奈良,和歌山,鳥取,島根,岡山,広島,山口,徳島,香川,愛媛,高知,福岡,佐賀,長崎,熊本,大分,宮崎,鹿児島,沖縄,その他
令和3年度,2021,627040,21039,4975,4460,9982,3345,4097,7215,14797,9063,8971,35056,30362,78180,44498,8698,4561,5607,4104,5018,9269,9760,16879,38573,7864,7185,15965,47469,29769,7877,4366,2177,2748,9328,14387,4706,3246,4840,6144,2845,22333,3455,5434,7075,4091,4180,6126,7002,17919
令和2年度,2020,635003,21415,5018,4681,10052,3379,4275,7283,14784,9155,9332,35148,29698,77773,43804,9400,4932,5939,4076,5079,9382,9695,17271,39200,7985,7304,15963,48067,29980,8089,4520,2269,2722,9209,14841,5168,3275,4929,6202,3103,22861,3488,5618,7141,4249,4207,6161,6928,19953
令和元年度,2019,631273,20767,4960,4608,10042,3396,4099,7409,14819,9231,9007,34966,29680,77516,44561,9239,4648,5718,3949,4912,9113,9770,16978,39104,7859,7044,16005,47383,29986,7920,4364,2220,2804,9418,14735,4932,3265,4874,6242,2958,22966,3615,5525,7480,4116,4203,6228,6529,20110
平成30年度,2018,628821,20681,5182,4654,10132,3595,4224,7502,14942,9100,9081,34353,29744,76555,44012,9260,4585,5697,4071,5124,9216,9691,17229,39270,7877,6903,15796,47113,29951,8140,4272,2190,2800,9002,14739,5123,3203,4778,6232,2845,22583,3608,5583,7374,4132,4269,6206,6315,19887
平成29年度,2017,629733,20912,5056,4735,10132,3592,4240,7785,14793,9085,9139,34585,29574,77103,43758,9169,4559,5658,4092,5041,8980,9725,17323,38905,8299,7182,15884,47347,30147,8016,4324,2115,2650,9183,14995,5069,3318,4733,6373,2685,23157,3566,5471,7453,4029,4267,6184,6304,19041
平成28年度,2016,618423,20555,4949,4612,10145,3600,4242,7668,14919,9211,9192,33864,29188,76039,43077,9459,4527,5435,3817,4930,9194,9292,16890,38244,7969,6882,15494,47036,29241,7919,4373,2147,2630,8823,14672,4953,3247,4461,6296,2766,22829,3532,5551,7381,4088,4439,5988,6097,16560
平成27年度,2015,617507,20339,5021,4519,10125,3670,4427,7653,14934,9192,9241,33902,29206,76342,42984,9561,4593,5459,3884,4947,9113,9551,17407,37935,8076,6759,15645,46210,29310,8136,4280,2162,2695,8799,14701,5038,3109,4422,6196,2886,22820,3560,5426,7389,4156,4280,5989,6427,15031
平成26年度,2014,608247,20193,5049,4662,10188,3874,4456,7870,14841,9086,8968,32985,28249,75157,41731,9708,4584,5330,3743,5116,9251,9517,16965,37069,8214,6727,14812,44492,28882,7816,4454,2083,2818,8701,14533,5028,3312,4513,6158,2767,22542,3501,5620,7459,4114,4302,5995,6161,14651
平成25年度,2013,614183,20273,5047,4666,10287,3885,4628,7961,14870,9507,9112,33695,28370,75771,41557,9819,4724,5554,3823,5272,9316,9605,17635,37572,8296,6931,15136,43369,28898,7899,4486,2334,2770,8799,14943,5042,3342,4464,6316,2916,22408,3540,5790,7363,4333,4368,6323,6225,14943
平成24年度,2012,605390,20002,4958,4688,10006,3895,4724,8045,15199,9273,9158,33203,27620,74039,40289,10015,4503,5246,3893,4951,9433,9332,17301,36480,8381,6823,14974,42490,28081,7791,4473,2226,2926,8553,14769,5013,3331,4311,6275,2819,21972,3454,5832,7191,4231,4207,6290,5996,16728
平成23年度,2011,612858,20636,5061,4801,9998,3998,4857,8043,15409,9695,9143,32924,27633,72703,39390,10028,4578,5445,3960,5056,9717,9920,17118,35925,8406,6883,15034,43019,28518,7760,4581,2385,2764,9039,14939,5077,3658,4554,6669,2946,22769,3665,6038,7524,4435,4410,6675,6059,19013
平成22年度,2010,619119,20861,5305,4878,10728,4171,4892,8596,15594,9906,9457,32733,27951,72772,40142,10480,4600,5351,4013,5171,9529,9762,17907,35967,8446,6988,14934,42150,28823,7927,4707,2465,2995,9222,14888,5145,3616,4600,6494,2834,22833,3842,6061,7434,4377,4486,6672,6122,20292
平成21年度,2009,608731,21145,5203,4806,10316,4106,4848,8255,15489,9826,9248,31696,27495,71173,38618,10484,4617,5417,4053,5098,9486,9720,17571,35261,8375,6998,14869,41152,28356,7707,4856,2441,2923,8971,14861,5123,3809,4563,6505,2839,22584,3894,6057,7404,4586,4422,6617,6099,18789
平成20年度,2008,607159,21033,5338,4804,10569,4104,5008,8357,15454,9953,9385,31651,27105,70274,38358,10660,4754,5327,4029,4989,9764,9891,17486,35063,8434,6638,14847,40668,28298,7561,4825,2404,2937,9006,15275,5368,3764,4697,6756,2935,22863,3752,6134,7444,4511,4415,6543,6121,17607
