学校基本調査＞初等中等教育機関・専修学校・各種学校《報告書掲載集計》＞卒業後の状況調査＞中学校＞状況別卒業者数＞計＞計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年度,西暦,全国,北海道,青森,岩手,宮城,秋田,山形,福島,茨城,栃木,群馬,埼玉,千葉,東京,神奈川,新潟,富山,石川,福井,山梨,長野,岐阜,静岡,愛知,三重,滋賀,京都,大阪,兵庫,奈良,和歌山,鳥取,島根,岡山,広島,山口,徳島,香川,愛媛,高知,福岡,佐賀,長崎,熊本,大分,宮崎,鹿児島,沖縄
令和3年3月,2021 ,1052489 ,40691 ,10067 ,10027 ,19041 ,7379 ,9068 ,15825 ,24009 ,17225 ,16991 ,61178 ,51297 ,98235 ,73540 ,17702 ,8966 ,9832 ,7019 ,7158 ,18408 ,18015 ,32050 ,67374 ,15615 ,13242 ,21712 ,72405 ,46634 ,11840 ,7849 ,4844 ,5515 ,16598 ,24403 ,11107 ,5741 ,8480 ,10814 ,5673 ,44061 ,7553 ,11807 ,15725 ,9502 ,9741 ,14740 ,15791 
令和2年3月,2020 ,1087468 ,42181 ,10757 ,10610 ,19756 ,7760 ,9577 ,16533 ,25321 ,17560 ,17591 ,62523 ,53336 ,100463 ,75417 ,18495 ,9304 ,10156 ,7107 ,7319 ,18924 ,18630 ,33378 ,69675 ,16342 ,13732 ,21903 ,75353 ,48624 ,12207 ,8057 ,5003 ,5821 ,17103 ,24977 ,11611 ,6228 ,8946 ,11281 ,5721 ,45106 ,7797 ,12135 ,16137 ,9743 ,10106 ,15005 ,16157 
平成31年3月,2019 ,1112083 ,43997 ,11250 ,11069 ,20573 ,7856 ,9766 ,17241 ,25998 ,18122 ,18266 ,63542 ,53790 ,102161 ,77128 ,19056 ,9552 ,10674 ,7186 ,7561 ,19462 ,19430 ,33844 ,70197 ,16867 ,13978 ,22324 ,77216 ,49587 ,12681 ,8537 ,5187 ,5986 ,17523 ,25643 ,11815 ,6394 ,8936 ,11841 ,5980 ,45416 ,7845 ,12432 ,16332 ,10063 ,10226 ,15422 ,16131 
平成30年3月,2018 ,1133016 ,44746 ,11830 ,11302 ,20818 ,8171 ,10211 ,17622 ,26870 ,18257 ,18551 ,64508 ,54798 ,102257 ,77611 ,19201 ,9656 ,10560 ,7466 ,7768 ,20070 ,19991 ,34622 ,71427 ,17430 ,14299 ,23014 ,79381 ,51201 ,12808 ,8744 ,5195 ,6233 ,18015 ,25863 ,12102 ,6581 ,9310 ,11833 ,6160 ,46403 ,8125 ,12685 ,16738 ,10128 ,10481 ,15611 ,16363 
平成29年3月,2017 ,1160351 ,45568 ,12357 ,11839 ,21395 ,8570 ,10558 ,18482 ,27565 ,18775 ,19172 ,65634 ,55188 ,103274 ,78659 ,20501 ,10111 ,11054 ,7821 ,8024 ,20598 ,20069 ,35112 ,72657 ,17513 ,14500 ,23646 ,81618 ,51962 ,13255 ,9283 ,5360 ,6482 ,18462 ,26747 ,12738 ,6867 ,9275 ,12159 ,6521 ,47429 ,8743 ,13387 ,16971 ,10709 ,10863 ,15958 ,16920 
平成28年3月,2016 ,1169415 ,45414 ,12452 ,12081 ,21544 ,8695 ,10616 ,18824 ,27912 ,18754 ,19056 ,65474 ,55425 ,104543 ,79314 ,20628 ,10095 ,11188 ,7741 ,8087 ,20512 ,20490 ,35245 ,73336 ,17852 ,14310 ,24095 ,82869 ,52957 ,13197 ,9490 ,5502 ,6454 ,18636 ,26566 ,12590 ,6973 ,9574 ,12522 ,6585 ,47266 ,8951 ,13488 ,17427 ,10589 ,10945 ,16270 ,16881 
平成27年3月,2015 ,1174529 ,45886 ,12666 ,12083 ,21570 ,9101 ,10684 ,18929 ,28354 ,18512 ,19255 ,65547 ,55334 ,104164 ,78931 ,21062 ,10189 ,11121 ,7906 ,8401 ,20902 ,20705 ,35474 ,73625 ,17797 ,14411 ,24120 ,83664 ,53579 ,13716 ,9695 ,5465 ,6436 ,18439 ,26710 ,12817 ,6928 ,9563 ,12485 ,6658 ,46993 ,8977 ,14010 ,17275 ,10743 ,10899 ,15974 ,16774 
平成26年3月,2014 ,1192990 ,47546 ,13256 ,12530 ,21852 ,9303 ,10850 ,19782 ,28366 ,18809 ,19402 ,65774 ,55647 ,104787 ,79734 ,21620 ,10063 ,11393 ,8156 ,8325 ,21217 ,20795 ,35989 ,74427 ,18382 ,14537 ,24543 ,85560 ,54500 ,13847 ,9998 ,5427 ,6517 ,18997 ,27297 ,12985 ,7159 ,9652 ,12909 ,6626 ,47920 ,9058 ,14269 ,17635 ,10921 ,11261 ,16389 ,16978 
平成25年3月,2013 ,1185054 ,47965 ,13314 ,12377 ,21605 ,9583 ,10977 ,19427 ,28749 ,18903 ,19425 ,65936 ,54860 ,103446 ,78468 ,21703 ,10098 ,11055 ,7983 ,8748 ,21154 ,20560 ,35404 ,72932 ,18120 ,14281 ,23751 ,83617 ,53852 ,13903 ,9930 ,5467 ,6594 ,18921 ,27204 ,13030 ,7021 ,9440 ,13173 ,6781 ,48005 ,9173 ,14241 ,17773 ,11174 ,11572 ,16724 ,16635 
平成24年3月,2012 ,1195204 ,48845 ,13817 ,12714 ,21834 ,9782 ,11413 ,20220 ,28866 ,18970 ,19934 ,66325 ,55569 ,104071 ,77472 ,22237 ,10308 ,11301 ,8277 ,8810 ,21257 ,20996 ,35931 ,72411 ,18224 ,14227 ,24277 ,83243 ,53452 ,13749 ,10250 ,5677 ,6801 ,19117 ,27531 ,13215 ,7202 ,9266 ,13169 ,7072 ,48023 ,9095 ,14704 ,18216 ,11297 ,11729 ,17060 ,17248 
