学校基本調査＞初等中等教育機関・専修学校・各種学校《報告書掲載集計》＞卒業後の状況調査＞中等教育学校＞前期課程の状況別修了者数＞計＞計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年度,西暦,全国,北海道,青森,岩手,宮城,秋田,山形,福島,茨城,栃木,群馬,埼玉,千葉,東京,神奈川,新潟,富山,石川,福井,山梨,長野,岐阜,静岡,愛知,三重,滋賀,京都,大阪,兵庫,奈良,和歌山,鳥取,島根,岡山,広島,山口,徳島,香川,愛媛,高知,福岡,佐賀,長崎,熊本,大分,宮崎,鹿児島,沖縄
令和3年3月,2021 ,5438 ,232 ,－,－,168 ,－,－,－,428 ,57 ,254 ,－,－,1194 ,591 ,553 ,－,－,－,－,87 ,－,－,82 ,126 ,21 ,－,46 ,200 ,163 ,－,－,－,175 ,119 ,99 ,137 ,－,552 ,－,116 ,－,－,－,－,38 ,－,－
令和2年3月,2020 ,5430 ,233 ,－,－,167 ,－,－,－,396 ,84 ,255 ,－,－,1201 ,621 ,570 ,－,－,－,－,79 ,－,－,88 ,119 ,30 ,－,42 ,209 ,160 ,－,－,－,170 ,118 ,102 ,－,－,627 ,－,121 ,－,－,－,－,38 ,－,－
平成31年3月,2019 ,5346 ,236 ,－,－,174 ,－,－,－,408 ,74 ,255 ,－,－,1194 ,603 ,566 ,－,－,－,－,80 ,－,－,92 ,－,21 ,－,62 ,195 ,166 ,－,－,－,169 ,119 ,115 ,－,－,662 ,－,119 ,－,－,－,－,36 ,－,－
平成30年3月,2018 ,5515 ,237 ,－,－,180 ,－,－,－,412 ,101 ,255 ,－,－,1196 ,641 ,606 ,－,－,－,－,79 ,－,－,110 ,－,29 ,－,92 ,215 ,165 ,－,－,－,175 ,116 ,117 ,－,－,650 ,－,103 ,－,－,－,－,36 ,－,－
平成29年3月,2017 ,5523 ,75 ,－,－,181 ,－,－,－,384 ,113 ,253 ,－,－,1183 ,636 ,618 ,－,－,－,－,85 ,－,－,127 ,－,35 ,－,116 ,267 ,180 ,－,－,－,176 ,118 ,110 ,－,－,709 ,－,117 ,－,－,－,－,40 ,－,－
平成28年3月,2016 ,5386 ,72 ,－,－,181 ,－,－,－,378 ,108 ,253 ,－,－,1184 ,655 ,602 ,－,－,－,－,81 ,－,－,118 ,－,40 ,－,135 ,276 ,178 ,－,－,－,178 ,－,119 ,－,－,667 ,－,124 ,－,－,－,－,37 ,－,－
平成27年3月,2015 ,5279 ,75 ,－,－,182 ,－,－,－,301 ,77 ,254 ,－,－,1189 ,686 ,631 ,－,－,－,－,84 ,－,－,125 ,－,－,－,116 ,269 ,177 ,－,－,－,180 ,－,113 ,－,－,662 ,－,119 ,－,－,－,－,39 ,－,－
平成26年3月,2014 ,5300 ,78 ,－,－,174 ,－,－,－,295 ,111 ,128 ,－,－,1184 ,738 ,632 ,－,－,－,－,80 ,－,－,123 ,－,－,－,127 ,274 ,225 ,－,－,－,192 ,－,113 ,－,－,677 ,－,111 ,－,－,－,－,38 ,－,－
平成25年3月,2013 ,5208 ,78 ,－,－,175 ,－,－,－,305 ,116 ,125 ,－,－,1186 ,774 ,644 ,－,－,－,－,－,－,－,66 ,－,－,－,148 ,267 ,206 ,－,－,－,194 ,－,112 ,－,－,654 ,－,121 ,－,－,－,－,37 ,－,－
平成24年3月,2012 ,4773 ,77 ,－,－,185 ,－,－,－,318 ,118 ,136 ,－,－,866 ,764 ,625 ,－,－,－,－,－,－,－,118 ,－,－,－,130 ,254 ,206 ,－,－,－,32 ,－,112 ,－,－,685 ,－,108 ,－,－,－,－,39 ,－,－
平成23年3月,2011 ,3915 ,80 ,－,－,60 ,－,－,－,336 ,123 ,138 ,－,－,740 ,474 ,521 ,－,－,－,－,－,－,－,104 ,－,－,－,127 ,79 ,205 ,－,－,－,－,－,109 ,－,－,668 ,－,113 ,－,－,－,－,38 ,－,－
平成22年3月,2010 ,3381 ,80 ,－,－,65 ,－,－,－,121 ,－,142 ,－,－,598 ,513 ,427 ,－,－,－,－,－,－,－,112 ,－,－,－,124 ,76 ,193 ,－,－,－,－,－,115 ,－,－,666 ,－,111 ,－,－,－,－,38 ,－,－
平成21年3月,2009 ,3178 ,－,－,－,92 ,－,－,－,123 ,－,142 ,－,－,591 ,431 ,323 ,－,－,－,－,－,－,－,117 ,－,－,－,166 ,80 ,193 ,－,－,－,－,－,116 ,－,－,656 ,－,109 ,－,－,－,－,39 ,－,－
平成20年3月,2008 ,2625 ,－,－,－,69 ,－,－,－,172 ,－,144 ,－,－,268 ,404 ,243 ,－,－,－,－,－,－,－,－,－,－,－,155 ,75 ,176 ,－,－,－,－,－,113 ,－,－,666 ,－,102 ,－,－,－,－,38 ,－,－
